open_time,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
1612195200000,0.00066456,0.00066626,0.00065900,0.00066066,51025.20000000,1612198799999,33.79827341,1719,27875.40000000,18.46864429,0
1612198800000,0.00066031,0.00066332,0.00065355,0.00066075,94680.00000000,1612202399999,62.37564554,2514,37816.50000000,24.90910584,0
1612202400000,0.00066106,0.00066293,0.00065293,0.00066005,85965.10000000,1612205999999,56.57907563,2597,49949.50000000,32.86408451,0
1612206000000,0.00065977,0.00066280,0.00065471,0.00066280,96456.90000000,1612209599999,63.56921048,2402,39280.80000000,25.86983673,0
1612209600000,0.00066289,0.00066361,0.00065638,0.00066115,125072.80000000,1612213199999,82.46275826,2700,50581.70000000,33.35570380,0
1612213200000,0.00066162,0.00067500,0.00066106,0.00067266,69560.90000000,1612216799999,46.58612549,3244,42321.70000000,28.35942199,0
1612216800000,0.00067266,0.00068986,0.00066924,0.00068196,153437.50000000,1612220399999,104.59409877,6362,79781.40000000,54.36862258,0
1612220400000,0.00068199,0.00068764,0.00067900,0.00068260,106687.90000000,1612223999999,72.83392599,3845,56781.70000000,38.77992746,0
1612224000000,0.00068262,0.00069188,0.00067163,0.00068043,145789.10000000,1612227599999,99.12198000,5928,73537.40000000,49.95998045,0
1612227600000,0.00068016,0.00069387,0.00067934,0.00068626,105921.00000000,1612231199999,72.78511637,3539,48860.50000000,33.57187761,0
1612231200000,0.00068664,0.00069646,0.00068365,0.00068466,133810.90000000,1612234799999,92.47409818,4355,64716.40000000,44.71389288,0
1612234800000,0.00068462,0.00068742,0.00067788,0.00068508,92995.80000000,1612238399999,63.52398432,2537,40166.00000000,27.43681126,0
1612238400000,0.00068508,0.00068800,0.00067826,0.00068535,62003.10000000,1612241999999,42.42969939,1767,29782.70000000,20.37916553,0
1612242000000,0.00068557,0.00068924,0.00067939,0.00068270,55966.10000000,1612245599999,38.37875489,1866,22564.50000000,15.47693356,0
1612245600000,0.00068280,0.00068603,0.00068037,0.00068126,72875.30000000,1612249199999,49.78765162,2345,28810.00000000,19.67889056,0
1612249200000,0.00068126,0.00068914,0.00067702,0.00068488,68207.30000000,1612252799999,46.67705175,2902,33750.50000000,23.08313986,0
1612252800000,0.00068481,0.00069156,0.00067643,0.00067696,91817.80000000,1612256399999,62.79655756,3269,41790.40000000,28.58623246,0
1612256400000,0.00067686,0.00067864,0.00065539,0.00065921,215739.90000000,1612259999999,143.44401488,7910,107649.80000000,71.55707796,0
1612260000000,0.00065925,0.00066836,0.00065772,0.00066000,79009.10000000,1612263599999,52.34222662,2866,40440.70000000,26.78382365,0
1612263600000,0.00066032,0.00066402,0.00065681,0.00066349,62703.70000000,1612267199999,41.41569500,2495,31026.50000000,20.50158510,0
